,0,1,2
0,1,1,5
1,1,2,3
2,1,3,4
3,1,5,3
4,1,6,5
5,1,7,4
6,1,8,1
7,1,9,5
8,1,10,3
9,1,11,2
10,1,12,5
11,1,13,5
12,1,14,5
13,1,15,5
14,1,16,5
15,1,17,3
16,1,18,4
17,1,19,5
18,1,20,4
19,1,21,1
20,1,22,4
21,1,23,4
22,1,24,3
23,1,25,4
24,1,26,3
25,1,27,2
26,1,28,4
27,1,29,1
28,1,30,3
29,1,31,3
30,1,32,5
31,1,33,4
32,1,34,2
33,1,35,1
34,1,36,2
35,1,37,2
36,1,38,3
37,1,39,4
38,1,40,3
39,1,41,2
40,1,42,5
41,1,44,5
42,1,45,5
43,1,46,4
44,1,47,4
45,1,48,5
46,1,49,3
47,1,50,5
48,1,51,4
49,1,52,4
50,1,53,3
51,1,54,3
52,1,55,5
53,1,56,4
54,1,57,5
55,1,58,4
56,1,59,5
57,1,60,5
58,1,61,4
59,1,62,3
60,1,63,2
61,1,64,5
62,1,65,4
63,1,66,4
64,1,67,3
65,1,68,4
66,1,69,3
67,1,70,3
68,1,71,3
69,1,72,4
70,1,73,3
71,1,74,1
72,1,75,4
73,1,76,4
74,1,77,4
75,1,78,1
76,1,79,4
77,1,80,4
78,1,81,5
79,1,82,5
80,1,83,3
81,1,85,3
82,1,86,5
83,1,87,5
84,1,88,4
85,1,89,5
86,1,90,4
87,1,91,5
88,1,92,3
89,1,93,5
90,1,94,2
91,1,95,4
92,1,96,5
93,1,97,3
94,1,98,4
95,1,99,3
96,1,100,5
97,1,101,2
98,1,103,1
99,1,104,1
100,1,105,2
101,1,106,4
102,1,107,4
103,1,108,5
104,1,110,1
105,1,113,5
106,1,114,5
107,1,115,5
108,1,117,3
109,1,118,3
110,1,119,5
111,1,121,4
112,1,122,3
113,1,123,4
114,1,124,5
115,1,125,3
116,1,126,2
117,1,127,5
118,1,128,4
119,1,129,5
120,1,130,3
121,1,131,1
122,1,132,4
123,1,134,4
124,1,136,3
125,1,137,5
126,1,138,1
127,1,140,1
128,1,142,2
129,1,143,1
130,1,145,2
131,1,146,4
132,1,147,3
133,1,149,2
134,1,150,5
135,1,151,4
136,1,152,5
137,1,153,3
138,1,154,5
139,1,155,2
140,1,156,4
141,1,157,4
142,1,158,3
143,1,159,3
144,1,161,4
145,1,162,4
146,1,163,4
147,1,164,3
148,1,165,5
149,1,166,5
150,1,167,2
151,1,168,5
152,1,169,5
153,1,170,5
154,1,172,5
155,1,173,5
156,1,174,5
157,1,175,5
158,1,176,5
159,1,177,5
160,1,178,5
161,1,179,3
162,1,180,3
163,1,181,5
164,1,182,4
165,1,183,5
166,1,184,4
167,1,185,4
168,1,186,4
169,1,188,3
170,1,189,3
171,1,190,5
172,1,191,5
173,1,192,4
174,1,193,4
175,1,194,4
176,1,195,5
177,1,196,5
178,1,197,5
179,1,198,5
180,1,199,4
181,1,200,3
182,1,201,3
183,1,202,5
184,1,203,4
185,1,204,5
186,1,205,3
187,1,206,4
188,1,207,5
189,1,208,5
190,1,209,4
191,1,211,3
192,1,212,4
193,1,213,2
194,1,214,4
195,1,215,3
196,1,216,5
197,1,217,3
198,1,218,3
199,1,219,1
200,1,220,3
201,1,221,5
202,1,222,4
203,1,223,5
204,1,224,5
205,1,225,2
206,1,226,3
207,1,227,4
208,1,228,5
209,1,229,4
210,1,230,4
211,1,231,1
212,1,232,3
213,1,233,2
214,1,234,4
215,1,235,5
216,1,236,4
217,1,238,4
218,1,239,4
219,1,240,3
220,1,241,4
221,1,242,5
222,1,243,1
223,1,244,2
224,1,245,2
225,1,246,5
226,1,248,4
227,1,249,4
228,1,250,4
229,1,251,4
230,1,252,2
231,1,253,5
232,1,255,2
233,1,256,4
234,1,257,4
235,1,258,5
236,1,260,1
237,1,261,1
238,1,262,3
239,1,263,1
240,1,264,2
241,1,265,4
242,1,266,1
243,1,267,4
244,1,269,5
245,1,270,5
246,1,271,2
247,1,272,3
248,2,1,4
249,2,13,4
250,2,14,4
251,2,25,4
252,2,50,5
253,2,100,5
254,2,111,4
255,2,127,5
256,2,237,4
